rank,originalRank,releaseId,releaseName,classPath,qualifiedName,NSmells,SIZE_LOC,NOM,PUBLIC_METHODS,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,SMELL_DENSITY,isAbstract,isInterface,isEnum,isAnnotation,discardReasons
"1","1","12356721","4.1.0","core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/ConnectorFacadeProxy.java","org.apache.syncope.core.provisioning.java.ConnectorFacadeProxy","40","447","11","10","40.63636363636363","78","39","0.0894854586129754","false","false","false","false",""
"2","2","12356721","4.1.0","core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultMappingManager.java","org.apache.syncope.core.provisioning.java.DefaultMappingManager","28","1030","12","5","85.83333333333333","226","76","0.027184466019417475","false","false","false","false",""
"3","3","12356721","4.1.0","core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/DefaultJobManager.java","org.apache.syncope.core.provisioning.java.job.DefaultJobManager","16","357","15","10","23.8","26","37","0.04481792717086835","false","false","false","false",""
"4","4","12356721","4.1.0","core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/InboundMatcher.java","org.apache.syncope.core.provisioning.java.pushpull.InboundMatcher","11","413","10","6","41.3","57","60","0.026634382566585957","false","false","false","false",""
"5","5","12356721","4.1.0","ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchIndexManager.java","org.apache.syncope.ext.elasticsearch.client.ElasticsearchIndexManager","11","278","12","12","23.166666666666668","16","33","0.039568345323741004","false","false","false","false",""
"6","6","12356721","4.1.0","ext/opensearch/client-opensearch/src/main/java/org/apache/syncope/ext/opensearch/client/OpenSearchIndexManager.java","org.apache.syncope.ext.opensearch.client.OpenSearchIndexManager","11","277","12","12","23.083333333333332","16","32","0.039711191335740074","false","false","false","false",""
"7","7","12356721","4.1.0","ext/flowable/flowable-bpmn/src/main/java/org/apache/syncope/core/flowable/impl/FlowableRuntimeUtils.java","org.apache.syncope.core.flowable.impl.FlowableRuntimeUtils","9","157","12","11","13.083333333333334","24","23","0.05732484076433121","false","false","false","false",""
"8","8","12356721","4.1.0","core/idrepo/logic/src/main/java/org/apache/syncope/core/logic/TaskLogic.java","org.apache.syncope.core.logic.TaskLogic","8","485","14","12","34.642857142857146","71","64","0.016494845360824743","false","false","false","false",""
"9","9","12356721","4.1.0","ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchUtils.java","org.apache.syncope.ext.elasticsearch.client.ElasticsearchUtils","8","174","13","6","13.384615384615385","20","28","0.04597701149425287","false","false","false","false",""
"10","10","12356721","4.1.0","ext/opensearch/client-opensearch/src/main/java/org/apache/syncope/ext/opensearch/client/OpenSearchUtils.java","org.apache.syncope.ext.opensearch.client.OpenSearchUtils","8","174","13","6","13.384615384615385","20","28","0.04597701149425287","false","false","false","false",""
