Version,File Name,SIZE_LOC,NOM,AVG_METHOD_SIZE,CYCLO_COMPLEXITY,FAN_OUT,NR,NFIX,NAUTH,LOC_ADDED,MAX_LOC_ADDED,CHURN,MAX_CHURN,MAX_CHANGE_SET_SIZE,AVG_MODIFIED_DIRS,AGE_SINCE_LAST_CHANGE,OWNERSHIP_RATIO,NSMELLS,SMELL_DENSITY,SAME_DIRECTORY_CHANGE_RATIO,AGE,Buggy
1,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java,100,3,33.333333,8,0,5,1,3,122,101,144,101,1524,77.600000,110,0.600000,0,0,0.000000,238,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java,258,6,43.000000,22,0,5,1,3,311,275,364,275,1524,77.600000,110,0.600000,0,0,0.000000,238,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java,101,2,50.500000,10,0,8,1,3,150,99,199,99,1524,52.625000,110,0.500000,0,0,0.000000,238,no
1,build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java,178,6,29.666667,26,0,5,1,3,216,187,254,187,1524,77.600000,110,0.600000,0,0,0.000000,238,no
1,client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java,82,11,7.454545,4,0,16,1,3,175,35,268,41,1524,32.000000,110,0.750000,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java,45,3,15.000000,3,1,18,1,3,163,35,281,35,1524,29.944444,110,0.833333,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/client/search/MembershipCond.java,57,6,9.500000,5,1,17,1,3,172,35,287,42,1524,26.588235,110,0.764706,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/client/search/NodeCond.java,210,25,8.400000,31,1,9,1,3,276,147,342,147,1524,47.222222,110,0.555556,0,0,0.000000,670,no
1,client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java,34,2,17.000000,3,0,13,1,3,84,15,134,27,1524,31.538462,110,0.769231,0,0,0.000000,784,no
1,client/src/main/java/org/apache/syncope/client/to/AttributeTO.java,111,9,12.333333,8,1,19,1,4,217,40,323,46,1524,26.210526,110,0.736842,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/client/to/MembershipTO.java,66,8,8.250000,3,0,16,1,4,153,35,240,35,1524,26.812500,110,0.750000,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/client/to/UserTO.java,213,31,6.870968,12,0,30,2,3,482,104,751,104,1524,21.433333,110,0.833333,0,0,0.000000,790,no
1,client/src/main/java/org/apache/syncope/client/to/WorkflowFormTO.java,151,19,7.947368,9,1,8,2,3,188,147,225,147,1524,50.375000,110,0.500000,0,0,0.000000,286,no
1,client/src/main/java/org/apache/syncope/client/util/XMLSerializer.java,63,2,31.500000,6,0,6,1,3,83,62,103,62,1524,68.666667,110,0.666667,0,0,0.000000,255,no
1,client/src/main/java/org/apache/syncope/client/validation/SyncopeClientErrorHandler.java,93,1,93.000000,12,1,10,1,3,152,88,211,88,1524,46.200000,110,0.500000,0,0,0.000000,768,no
1,client/src/main/java/org/apache/syncope/types/AbstractPolicySpec.java,29,1,29.000000,3,1,12,1,3,70,14,111,23,1524,36.250000,110,0.750000,0,0,0.000000,784,no
1,client/src/main/java/org/apache/syncope/types/AuditElements.java,244,4,61.000000,10,0,26,1,3,424,164,604,205,1524,24.730769,110,0.692308,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/types/CipherAlgorithm.java,37,2,18.500000,3,0,11,1,3,83,16,129,24,1524,36.363636,110,0.727273,0,0,0.000000,784,no
1,client/src/main/java/org/apache/syncope/types/ConnConfPropSchema.java,107,15,7.133333,5,1,17,1,4,192,35,277,39,1524,30.235294,69,0.705882,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/types/ConnConfProperty.java,66,7,9.428571,4,1,18,1,3,155,35,244,35,1524,30.055556,110,0.777778,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/types/EntityViolationType.java,69,3,23.000000,4,0,1,0,1,69,69,69,69,1524,141.000000,110,1.000000,0,0,0.000000,110,no
1,client/src/main/java/org/apache/syncope/types/IntMappingType.java,172,5,34.400000,22,0,22,2,6,273,106,374,125,1524,26.454545,96,0.545455,0,0,0.045455,784,no
1,client/src/main/java/org/apache/syncope/types/SchemaType.java,43,3,14.333333,5,0,22,1,3,166,35,289,51,1524,27.454545,110,0.818182,0,0,0.000000,823,no
1,client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java,99,4,24.750000,6,0,39,1,3,356,67,613,172,1524,22.846154,110,0.846154,0,0,0.000000,768,no
1,console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java,83,1,83.000000,10,1,12,1,3,237,69,391,126,1524,38.666667,110,0.666667,0,0,0.000000,647,no
1,console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java,50,4,12.500000,4,1,10,1,3,120,34,190,34,1524,47.300000,110,0.500000,0,0,0.000000,384,no
1,console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java,180,15,12.000000,14,0,11,2,4,364,168,548,168,1524,37.454545,7,0.454545,0,0,0.090909,538,no
1,console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java,111,7,15.857143,8,2,8,1,3,142,93,173,93,1524,51.000000,110,0.500000,0,0,0.000000,543,no
1,console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java,66,1,66.000000,6,7,9,1,3,106,59,146,59,1524,48.333333,110,0.444444,0,0,0.000000,453,no
1,console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java,113,13,8.692308,3,1,10,1,3,184,66,255,86,1524,46.700000,110,0.600000,0,0,0.000000,675,no
1,console/src/main/java/org/apache/syncope/console/commons/SelectOption.java,72,8,9.000000,8,0,6,1,3,93,50,114,50,1524,66.666667,110,0.666667,0,0,0.000000,383,no
